BOTS;Operaciones;fecha;Mes;dia_semana;hora
7;32;03/11/2017;11;5;7
7;38;03/11/2017;11;5;8
7;49;03/11/2017;11;5;9
6;43;03/11/2017;11;5;10
7;48;03/11/2017;11;5;11
7;55;03/11/2017;11;5;12
6;56;03/11/2017;11;5;13
5;20;03/11/2017;11;5;14
7;26;03/11/2017;11;5;15
1;1;03/11/2017;11;5;16
4;23;03/11/2017;11;5;17
4;7;03/11/2017;11;5;18
2;6;03/11/2017;11;5;19
4;11;03/11/2017;11;5;20
3;3;03/11/2017;11;5;21
3;5;03/11/2017;11;5;22
4;15;03/11/2017;11;5;23
4;16;04/11/2017;11;6;0
1;1;05/11/2017;11;7;22
6;19;06/11/2017;11;1;6
9;49;06/11/2017;11;1;7
9;53;06/11/2017;11;1;8
8;74;06/11/2017;11;1;9
7;81;06/11/2017;11;1;10
6;37;06/11/2017;11;1;11
7;50;06/11/2017;11;1;12
7;49;06/11/2017;11;1;13
7;42;06/11/2017;11;1;14
7;55;06/11/2017;11;1;15
6;23;06/11/2017;11;1;16
5;31;06/11/2017;11;1;17
6;14;06/11/2017;11;1;18
5;19;06/11/2017;11;1;19
6;16;06/11/2017;11;1;20
7;43;06/11/2017;11;1;21
5;25;06/11/2017;11;1;22
5;21;06/11/2017;11;1;23
6;24;07/11/2017;11;2;0
7;21;07/11/2017;11;2;1
3;3;07/11/2017;11;2;2
5;19;07/11/2017;11;2;3
4;10;07/11/2017;11;2;5
7;28;07/11/2017;11;2;6
7;51;07/11/2017;11;2;7
8;47;07/11/2017;11;2;8
7;69;07/11/2017;11;2;9
7;52;07/11/2017;11;2;10
7;55;07/11/2017;11;2;11
8;36;07/11/2017;11;2;12
7;52;07/11/2017;11;2;13
7;43;07/11/2017;11;2;14
7;37;07/11/2017;11;2;15
7;32;07/11/2017;11;2;16
8;41;07/11/2017;11;2;17
6;57;07/11/2017;11;2;18
6;34;07/11/2017;11;2;19
6;34;07/11/2017;11;2;20
7;41;07/11/2017;11;2;21
5;11;07/11/2017;11;2;22
4;17;07/11/2017;11;2;23
4;10;08/11/2017;11;3;0
4;19;08/11/2017;11;3;1
4;5;08/11/2017;11;3;2
4;7;08/11/2017;11;3;3
6;29;08/11/2017;11;3;4
6;32;08/11/2017;11;3;5
7;30;08/11/2017;11;3;6
6;58;08/11/2017;11;3;7
5;49;08/11/2017;11;3;8
5;38;08/11/2017;11;3;9
6;34;08/11/2017;11;3;10
6;43;08/11/2017;11;3;11
5;40;08/11/2017;11;3;12
5;52;08/11/2017;11;3;13
6;24;08/11/2017;11;3;14
7;25;08/11/2017;11;3;15
4;15;08/11/2017;11;3;16
7;37;08/11/2017;11;3;17
8;40;08/11/2017;11;3;18
6;22;08/11/2017;11;3;19
7;17;08/11/2017;11;3;20
5;26;08/11/2017;11;3;21
7;13;08/11/2017;11;3;22
7;23;08/11/2017;11;3;23
5;7;09/11/2017;11;4;0
6;14;09/11/2017;11;4;1
3;5;09/11/2017;11;4;2
6;20;09/11/2017;11;4;3
7;31;09/11/2017;11;4;4
6;26;09/11/2017;11;4;5
5;31;09/11/2017;11;4;6
5;51;09/11/2017;11;4;7
6;43;09/11/2017;11;4;8
6;50;09/11/2017;11;4;9
5;43;09/11/2017;11;4;10
4;38;09/11/2017;11;4;11
6;46;09/11/2017;11;4;12
6;42;09/11/2017;11;4;13
5;20;09/11/2017;11;4;14
5;35;09/11/2017;11;4;15
6;35;09/11/2017;11;4;16
6;20;09/11/2017;11;4;17
6;30;09/11/2017;11;4;18
5;24;09/11/2017;11;4;19
5;20;09/11/2017;11;4;20
5;6;09/11/2017;11;4;21
5;22;09/11/2017;11;4;22
5;42;09/11/2017;11;4;23
5;47;10/11/2017;11;5;0
6;38;10/11/2017;11;5;1
5;18;10/11/2017;11;5;2
4;10;10/11/2017;11;5;3
5;16;10/11/2017;11;5;4
5;24;10/11/2017;11;5;5
5;21;10/11/2017;11;5;6
5;34;10/11/2017;11;5;7
6;21;10/11/2017;11;5;8
6;29;10/11/2017;11;5;9
5;12;10/11/2017;11;5;10
6;29;10/11/2017;11;5;11
6;30;10/11/2017;11;5;12
6;16;10/11/2017;11;5;13
3;10;10/11/2017;11;5;14
1;1;10/11/2017;11;5;16
2;2;10/11/2017;11;5;17
2;2;12/11/2017;11;7;22
1;1;12/11/2017;11;7;23
3;4;13/11/2017;11;1;2
1;1;13/11/2017;11;1;3
3;4;13/11/2017;11;1;4
5;14;13/11/2017;11;1;5
4;7;13/11/2017;11;1;6
6;11;13/11/2017;11;1;7
7;18;13/11/2017;11;1;8
7;60;13/11/2017;11;1;9
9;42;13/11/2017;11;1;10
8;49;13/11/2017;11;1;11
8;55;13/11/2017;11;1;12
7;49;13/11/2017;11;1;13
6;22;13/11/2017;11;1;14
6;13;13/11/2017;11;1;15
6;54;13/11/2017;11;1;16
6;67;13/11/2017;11;1;17
6;46;13/11/2017;11;1;18
5;30;13/11/2017;11;1;19
5;19;13/11/2017;11;1;20
3;15;13/11/2017;11;1;21
4;21;13/11/2017;11;1;22
6;34;13/11/2017;11;1;23
5;42;14/11/2017;11;2;0
2;2;14/11/2017;11;2;1
5;16;14/11/2017;11;2;3
5;9;14/11/2017;11;2;4
5;30;14/11/2017;11;2;5
5;38;14/11/2017;11;2;6
6;49;14/11/2017;11;2;7
6;62;14/11/2017;11;2;8
6;62;14/11/2017;11;2;9
6;50;14/11/2017;11;2;10
6;61;14/11/2017;11;2;11
6;56;14/11/2017;11;2;12
6;39;14/11/2017;11;2;13
5;39;14/11/2017;11;2;14
5;44;14/11/2017;11;2;15
4;25;14/11/2017;11;2;16
4;48;14/11/2017;11;2;17
4;20;14/11/2017;11;2;18
5;28;14/11/2017;11;2;19
4;18;14/11/2017;11;2;20
4;12;14/11/2017;11;2;21
4;24;14/11/2017;11;2;22
3;4;14/11/2017;11;2;23
3;7;15/11/2017;11;3;4
2;3;15/11/2017;11;3;5
5;22;15/11/2017;11;3;6
5;51;15/11/2017;11;3;7
5;71;15/11/2017;11;3;8
5;58;15/11/2017;11;3;9
7;37;15/11/2017;11;3;10
7;27;15/11/2017;11;3;11
9;38;15/11/2017;11;3;12
9;52;15/11/2017;11;3;13
9;53;15/11/2017;11;3;14
8;56;15/11/2017;11;3;15
9;51;15/11/2017;11;3;16
9;46;15/11/2017;11;3;17
8;38;15/11/2017;11;3;18
8;37;15/11/2017;11;3;19
6;26;15/11/2017;11;3;20
5;14;15/11/2017;11;3;21
6;14;15/11/2017;11;3;22
5;14;15/11/2017;11;3;23
5;15;16/11/2017;11;4;0
5;39;16/11/2017;11;4;1
5;14;16/11/2017;11;4;2
7;15;16/11/2017;11;4;3
4;7;16/11/2017;11;4;4
9;17;16/11/2017;11;4;5
9;35;16/11/2017;11;4;6
9;64;16/11/2017;11;4;7
7;44;16/11/2017;11;4;8
8;51;16/11/2017;11;4;9
8;31;16/11/2017;11;4;10
9;63;16/11/2017;11;4;11
9;76;16/11/2017;11;4;12
8;47;16/11/2017;11;4;13
5;18;16/11/2017;11;4;14
